day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
92	2346.5	897.2531393311806	3795.7468606688194	0.6176206523199742	2958.625	2735.1567350558703	3182.0932649441297	0.07553112170150997	4695.5	3282.5301250487355	6108.4698749512645	0.3009200031841687
93	2143.875	787.5205534636059	3500.229446536394	0.6326648925596847	2952.625	2718.1119906209215	3187.1380093790785	0.0794252603629241	4904.125	3494.125017933475	6314.124982066525	0.2875130593258787
94	1947.75	695.55043654368	3199.94956345632	0.6428954246984059	2941.625	2660.156974040861	3223.093025959139	0.0956845369342248	5111.25	3714.875793281087	6507.624206718912	0.2731962253301859
95	1762.75	613.1402125302307	2912.3597874697693	0.6521683661720433	2907.625	2567.1430374132774	3248.1069625867226	0.11709968190076876	5330.25	3941.4304734947873	6719.069526505213	0.260554294171045
96	1594.5	546.5668342921444	2642.4331657078556	0.6572174134260618	2865.5	2462.69244177821	3268.30755822179	0.14057147381671262	5540.625	4170.882850342021	6910.367149657979	0.2472179852738597
97	1430.75	484.497569957638	2377.002430042362	0.6613681146548048	2824.375	2364.6649802876987	3284.0850197123013	0.16276522052216907	5745.5	4403.105420623688	7087.894579376312	0.23364277771757247
98	1280.25	428.4032959017352	2132.096704098265	0.6653752814671078	2772.5	2253.8245920557474	3291.1754079442526	0.1870785961926971	5947.75	4628.493060345676	7267.006939654324	0.22180773227763836
99	1141.125	384.49258777574767	1897.7574122242522	0.6630583084449577	2716.5	2152.0908488393925	3280.9091511606075	0.2077707164220899	6142.75	4865.468346664013	7420.031653335987	0.2079331982151296
100	1012.25	351.0994545754045	1673.4005454245955	0.6531494644846585	2658.375	2047.5280635756085	3269.2219364243915	0.22978207981356716	6329.75	5091.829487891904	7567.670512108096	0.1955717859485914
101	889.5	315.4877050294324	1463.5122949705676	0.6453201742221109	2586.25	1933.6700840048184	3238.8299159951816	0.25232669540654673	6524.625	5328.675517176733	7720.574482823267	0.18329781141801516
