day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
50	9516.7	9394.696723818053	9638.703276181948	0.01281991406495398	360.4	269.79866796110326	451.0013320388967	0.2513910433931652	122.9	91.36032225631254	154.43967774368747	0.25662878554668406
51	9460.5	9321.811643608675	9599.188356391325	0.014659727962721388	400.5	297.7399217961163	503.2600782038837	0.25657947117074587	139.0	102.84006264669992	175.15993735330008	0.2601434341964035
52	9403.8	9252.569421777402	9555.030578222597	0.016081858208660163	442.3	331.3153480898816	553.2846519101184	0.25092618564349634	153.9	113.5128386764488	194.28716132355123	0.26242469995809753
53	9342.7	9174.890202621526	9510.509797378476	0.01796159540373507	488.8	364.28094764701274	613.3190523529872	0.25474437879089046	168.5	124.9287545910563	212.0712454089437	0.25858305880678745
54	9275.1	9092.600175888008	9457.599824111992	0.01967631875796393	536.9	402.7467052349077	671.0532947650922	0.2498664458280727	188.0	139.50440584650653	236.49559415349347	0.2579552880504973
55	9193.4	8992.3321888953	9394.4678111047	0.021870886843246288	594.4	447.5295635609709	741.270436439029	0.2470902362702373	212.2	157.72651232956136	266.6734876704386	0.25670823595871173
56	9112.7	8893.599298998304	9331.800701001697	0.02404344497258741	650.7	492.2456015127915	809.1543984872086	0.24351375209345097	236.6	175.77157023459094	297.4284297654091	0.2570939550524474
57	9021.2	8780.06074294498	9262.339257055022	0.02673028610994333	721.7	544.8432695828644	898.5567304171357	0.2450557439616677	257.1	192.53845026548277	321.6615497345173	0.25111454583631754
58	8921.5	8662.448103482588	9180.551896517412	0.029036809563124107	794.7	608.6952669349191	980.704733065081	0.23405654091491251	283.8	210.66562550723262	356.9343744927674	0.2576968798194764
59	8810.0	8528.690753997429	9091.309246002571	0.031930674915161196	870.9	670.1779820911523	1071.6220179088477	0.2304765391076446	319.1	238.10448850306236	400.09551149693766	0.25382485583496606
60	8691.0	8381.986056298383	9000.013943701617	0.03555562578548118	949.9	731.8530165413193	1167.9469834586805	0.22954730335685927	359.1	267.7802708681661	450.41972913183395	0.25430166842615964
61	8563.8	8229.070921695105	8898.529078304893	0.03908651279862847	1039.6	805.1376710691277	1274.0623289308721	0.22553128985270518	396.6	296.18739871001736	497.0126012899827	0.2531835635148327
62	8419.8	8062.581451561022	8777.018548438977	0.042426013496636175	1146.5	901.6740994038225	1391.3259005961775	0.21354199790333844	433.7	321.23943775049315	546.1605622495068	0.2593049625305668
63	8264.1	7880.017888904183	8648.182111095819	0.04647597573792887	1252.6	990.2796640975866	1514.9203359024132	0.20942067372059175	483.3	361.29672381805244	605.3032761819476	0.252437980926852
64	8099.8	7683.224742934007	8516.375257065994	0.05143031396651691	1360.7	1082.5049334646087	1638.8950665353914	0.20444996438259072	539.5	400.81164360867433	678.1883563913257	0.257068315831929
65	7925.0	7475.971078579265	8374.028921420735	0.05665980081018739	1478.8	1180.7188278577623	1776.8811721422376	0.20156963223034732	596.2	444.96942177740164	747.4305782225985	0.25365746095705877
66	7743.0	7265.860459156332	8220.139540843667	0.06162205099362883	1599.7	1290.1189182056498	1909.2810817943503	0.19352446195808598	657.3	489.4902026215243	825.1097973784756	0.2553016847382864
67	7537.7	7026.108485476842	8049.291514523157	0.06787103685781576	1737.4	1407.833866589651	2066.9661334103494	0.18968926753214518	724.9	542.4001758880088	907.3998241119912	0.2517586206538712
68	7321.8	6777.839359951866	7865.7606400481345	0.07429329400531759	1871.6	1528.19123030311	2215.00876969689	0.18348406160338215	806.6	605.5321888952996	1007.6678111047005	0.24927821857761032
69	7108.9	6537.568140140455	7680.231859859544	0.08036853238328634	2003.8	1650.8700029855404	2356.7299970144595	0.17613035084063264	887.3	668.1992989983027	1106.4007010016971	0.2469296754217258
70	6866.9	6268.31694745268	7465.483052547319	0.08716932714140581	2154.3	1795.6875486123736	2512.912451387627	0.16646356189371328	978.8	737.6607429449791	1219.9392570550208	0.24636213430222806
71	6615.8	5992.427048362837	7239.172951637163	0.09422487856905643	2305.7	1939.7961974150605	2671.6038025849393	0.15869532141429474	1078.5	819.4481034825883	1337.5518965174117	0.24019647335874986
72	6361.2	5712.188656313838	7010.211343686162	0.10202655846163645	2448.8	2078.8294693664207	2818.7705306335797	0.15108237938319974	1190.0	908.6907539974299	1471.30924600257	0.2363943243719077
73	6110.6	5444.181895128584	6777.018104871417	0.1090593566706078	2580.4	2220.0112023878714	2940.7887976121287	0.13966392714777887	1309.0	999.9860562983831	1618.0139437016169	0.23606871176594113
74	5836.4	5157.9201708936735	6514.879829106326	0.11624971371159036	2727.4	2379.465945139852	3075.334054860148	0.1275698668549344	1436.2	1101.4709216951055	1770.9290783048946	0.23306578352937923
75	5556.7	4870.714704203351	6242.6852957966485	0.12345192214743435	2863.1	2527.4834123995674	3198.7165876004324	0.11722139904314641	1580.2	1222.9814515610228	1937.4185484389773	0.22605907381279408
76	5271.4	4571.3482896440255	5971.451710355974	0.1328018572591673	2992.7	2668.121296410643	3317.2787035893566	0.10845681277420277	1735.9	1351.8178889041822	2119.9821110958183	0.22125820098843132
77	4993.5	4290.850594480517	5696.149405519483	0.14071280775397663	3106.3	2808.91641251392	3403.6835874860803	0.09573563000549856	1900.2	1483.6247429340065	2316.7752570659936	0.21922705876538978
78	4717.1	4020.45161568034	5413.7483843196605	0.14768573579522587	3207.9	2943.0748154457883	3472.725184554212	0.08255406482565283	2075.0	1625.971078579265	2524.028921420735	0.2163994802027639
79	4438.6	3754.1976772023663	5123.002322797634	0.15419328680161182	3304.4	3070.215024243754	3538.584975756246	0.07087064996860121	2257.0	1779.860459156332	2734.139540843668	0.21140431583680463
80	4170.5	3503.648344932227	4837.351655067773	0.15989729170789432	3367.2	3173.158481424373	3561.2415185756267	0.05762696560217006	2462.3	1950.7084854768423	2973.891514523158	0.20776977400120122
81	3914.8	3270.5983624872247	4559.001637512775	0.16455544025563895	3407.0	3246.076669608001	3567.923330391999	0.04723314657822098	2678.2	2134.2393599518655	3222.160640048134	0.20310680309466597
82	3664.0	3044.7816555491645	4283.2183444508355	0.16900063986103595	3444.9	3305.418875525846	3584.381124474154	0.040489164990029976	2891.1	2319.7681401404557	3462.431859859544	0.1976174673513695
83	3415.9	2827.7920735803955	4004.0079264196047	0.17216778196656943	3451.0	3312.343318207424	3589.656681792576	0.040178696549572894	3133.1	2534.51694745268	3731.6830525473197	0.19105137165980005
84	3182.9	2626.534368379823	3739.2656316201774	0.17479833850267906	3432.9	3277.8240528110414	3587.975947188959	0.04517345311222541	3384.2	2760.827048362836	4007.5729516371634	0.18420097855834866
85	2965.3	2442.550437218387	3488.0495627816135	0.1762889295456154	3395.9	3206.033127551377	3585.766872448623	0.055910619408293255	3638.8	2989.788656313838	4287.811343686162	0.1783586192388045
86	2768.7	2275.1817218680085	3262.218278131991	0.1782490981803704	3341.9	3114.82718002995	3568.9728199700503	0.06794722163142236	3889.4	3222.9818951285843	4555.818104871416	0.1713421362861665
87	2589.5	2129.347446398248	3049.652553601752	0.17769938351100684	3246.9	2981.2803076002165	3512.5196923997837	0.08180716757515898	4163.6	3485.120170893674	4842.0798291063265	0.16295509393465413
88	2420.8	1996.7304568408297	2844.869543159171	0.17517743851585035	3135.9	2836.1436512387036	3435.6563487612966	0.09558861850227891	4443.3	3757.3147042033515	5129.285295796649	0.1543864460641074
89	2262.3	1876.4865260235738	2648.1134739764266	0.1705403677568962	3009.1	2665.394774167407	3352.805225832593	0.11422193540679701	4728.6	4028.548289644026	5428.6517103559745	0.14804629496171684
90	2126.4	1772.4782682566795	2480.321731743321	0.16644174743384152	2867.1	2492.5567138808974	3241.6432861191024	0.13063488755854438	5006.5	4303.850594480517	5709.149405519483	0.14034742944561715
91	1996.3	1681.7983082743003	2310.8016917256996	0.15754229911621476	2720.8	2317.684298849319	3123.9157011506813	0.14816072520974752	5282.9	4586.2516156803395	5979.54838431966	0.13186855407440234
92	1872.4	1589.8719154646374	2154.928084535363	0.15089088043973656	2566.2	2146.155213946162	2986.2447860538377	0.1636835733979572	5561.4	4876.997677202366	6245.802322797634	0.12306295587399474
93	1767.3	1514.5549461785388	2020.0450538214611	0.14301196957022647	2403.2	1973.252341558164	2833.1476584418356	0.17890631592952552	5829.5	5162.648344932227	6496.351655067773	0.11439259886229923
94	1678.0	1453.3698313864295	1902.6301686135705	0.13386780012727678	2236.8	1803.0744939871881	2670.5255060128125	0.19390446441917564	6085.2	5440.998362487225	6729.401637512775	0.10586367539485562
95	1595.2	1397.8606435896913	1792.5393564103088	0.12370822242371403	2068.8	1633.5798266711263	2504.020173328874	0.21037324696871315	6336.0	5716.7816555491645	6955.2183444508355	0.09773016800044756
96	1524.2	1345.705494456046	1702.6945055439542	0.11710701059175582	1891.7	1469.5868816849977	2313.8131183150026	0.22313956669398022	6584.1	5995.992073580396	7172.2079264196045	0.08932244747491752
